drug_id,disease
CID100000085,Failure to thrive
CID100000085,Hypoglycaemia
CID100000085,Hypoglycaemia
CID100000085,Renal failure chronic
CID100000085,Renal failure chronic
CID100000085,Inborn error of metabolism
CID100000085,Inborn error of metabolism
CID100000085,Hypotonia
CID100000085,Hypotonia
CID100000085,Muscle relaxant therapy
CID100000085,Encephalopathy
CID100000085,Encephalopathy
CID100000085,Muscular weakness
CID100000085,Muscular weakness
CID100000085,Cardiomyopathy
CID100000085,Cardiomyopathy
CID100000085,Carnitine deficiency
CID100000085,Carnitine deficiency
CID100000119,Agammaglobulinemia
CID100000119,Hypogammaglobulinaemia
CID100000119,Varicella
CID100000119,Varicella
CID100000119,Immunodeficiency common variable
CID100000119,Immunodeficiency common variable
CID100000119,Infection
CID100000119,Infection
CID100000119,Hepatitis
CID100000119,Hepatitis
CID100000119,Hepatitis A
CID100000119,Hepatitis A
CID100000119,Hepatitis B
CID100000119,Hepatitis B
CID100000119,Measles
CID100000119,Measles
CID100000119,Rubella
CID100000119,Rubella
CID100000119,Thymoma
CID100000119,Thymoma
CID100000119,Hepatitis viral
CID100000119,Hepatitis viral
CID100000119,Immunocompromised
CID100000119,Immunodeficiency
CID100000119,Hypogammaglobulinaemia
CID100000119,Hypogammaglobulinaemia
CID100000119,Bruton's agammaglobulinaemia
CID100000119,Bruton's agammaglobulinaemia
CID100000119,Varicella zoster
CID100000119,Herpes zoster
CID100000119,Foetal damage
CID100000119,Foetal damage
CID100000119,Insomnia
CID100000119,Insomnia
CID100000137,Actinic keratosis
CID100000137,Actinic keratosis
CID100000137,Seborrhoeic keratosis
CID100000137,Erythropoietic protoporphyria
CID100000137,Porphyria non-acute
CID100000137,Malignant glioma
CID100000137,Malignant glioma
CID100000143,Anaemia
CID100000143,Anaemia
CID100000143,Anaemia megaloblastic
CID100000143,Anaemia megaloblastic
CID100000143,Pernicious anaemia
CID100000143,Pernicious anaemia
CID100000143,Neoplasm malignant
CID100000143,Neoplasm malignant
CID100000143,Colorectal carcinoma
CID100000143,Colon cancer
CID100000143,Colorectal cancer
CID100000143,Folate deficiency
CID100000143,Folate deficiency
CID100000143,Liver disorder
CID100000143,Hepatocellular injury
CID100000143,Liver disorder
CID100000143,Foetor hepaticus
CID100000143,Malabsorption
CID100000143,Malabsorption
CID100000143,Osteosarcoma
CID100000143,Osteosarcoma
CID100000143,Malnutrition
CID100000143,Malnutrition
CID100000143,Sprue
CID100000143,Malabsorption
CID100000143,Colorectal cancer metastatic
CID100000143,Colorectal cancer metastatic
CID100000143,Colorectal cancer
CID100000143,Colorectal cancer
CID100000158,Abdominal cramps
CID100000158,Abdominal pain
CID100000158,Abortion missed
CID100000158,Abortion missed
CID100000158,Cardiovascular disorder
CID100000158,Cardiovascular disorder
CID100000158,Diabetes mellitus
CID100000158,Diabetes mellitus
CID100000158,Patent ductus arteriosus
CID100000158,Patent ductus arteriosus
CID100000158,Foetal death
CID100000158,Foetal death
CID100000158,Microsomia
CID100000158,Microsomia
CID100000158,Hydatidiform mole
CID100000158,Benign hydatidiform mole
CID100000158,Hypertension
CID100000158,Hypertension
CID100000158,Hypotension
CID100000158,Hypotension
CID100000158,Nausea
CID100000158,Nausea
CID100000158,Pre-eclampsia
CID100000158,Pre-eclampsia
CID100000158,Vomiting
CID100000158,Vomiting
CID100000158,Postmaturity
CID100000158,Postmature baby
CID100000158,Benign hydatidiform mole
CID100000158,Benign hydatidiform mole
CID100000158,Stillbirth
CID100000158,Stillbirth
CID100000158,Rhesus incompatibility
CID100000158,Rhesus incompatibility
CID100000159,Connective tissue disorder
CID100000159,Connective tissue disorder
CID100000159,Scleroderma
CID100000159,Scleroderma
CID100000159,Hypertension
CID100000159,Hypertension
CID100000159,Familial pulmonary arterial hypertension
CID100000159,Pulmonary arterial hypertension
CID100000159,Idiopathic pulmonary arterial hypertension
CID100000159,Pulmonary arterial hypertension
CID100000175,Infection
CID100000175,Infection
CID100000175,Hyponatraemia
CID100000175,Hyponatraemia
CID100000187,Miosis
CID100000187,Miosis
CID100000191,Atrial fibrillation
CID100000191,Atrial fibrillation
CID100000191,Atrial flutter
CID100000191,Atrial flutter
CID100000191,Cardiac disorder
CID100000191,Cardiac disorder
CID100000191,Paroxysmal supraventricular tachycardia
CID100000191,Supraventricular tachycardia
CID100000191,Convulsion
CID100000191,Convulsion
CID100000191,Supraventricular tachycardia
CID100000191,Supraventricular tachycardia
CID100000191,Ventricular tachycardia
CID100000191,Ventricular tachycardia
CID100000191,Wolff-Parkinson-White syndrome
CID100000191,Wolff-Parkinson-White syndrome
CID100000191,Myocardial ischaemia
CID100000191,Myocardial ischaemia
CID100000191,Sinus rhythm
CID100000191,Sinus rhythm
CID100000191,QRS complex
CID100000191,Electrocardiogram QRS complex
CID100000191,Nodal block
CID100000191,Atrioventricular block
CID100000191,Vascular resistance systemic
CID100000191,Vascular resistance systemic
CID100000191,Coronary artery disease
CID100000191,Coronary artery disease
CID100000206,Bacteraemia
CID100000206,Bacteraemia
CID100000206,Infection
CID100000206,Infection
CID100000206,Type 1 diabetes mellitus
CID100000206,Type 1 diabetes mellitus
CID100000206,Diabetic retinopathy
CID100000206,Diabetic retinopathy
CID100000206,Oedema
CID100000206,Oedema
CID100000206,Cardiac failure congestive
CID100000206,Cardiac failure congestive
CID100000206,Hyperglycaemia
CID100000206,Hyperglycaemia
CID100000206,Hyperinsulinism
CID100000206,Blood insulin increased
CID100000206,Hyperinsulinism
CID100000206,Hypernatraemia
CID100000206,Hypernatraemia
CID100000206,Hypocalcaemia
CID100000206,Hypocalcaemia
CID100000206,Hypoglycaemia
CID100000206,Hypoglycaemia
CID100000206,Hyponatraemia
CID100000206,Hyponatraemia
CID100000206,Nephropathy
CID100000206,Nephropathy
CID100000206,Hepatic cirrhosis
CID100000206,Hepatic cirrhosis
CID100000206,Pneumonia
CID100000206,Pneumonia
CID100000206,Varicose vein
CID100000206,Varicose vein
CID100000206,Wound
CID100000206,Wound
CID100000206,Hypocalcemic tetany
CID100000206,Tetany
CID100000206,Metabolic alkalosis
CID100000206,Metabolic alkalosis
CID100000206,Fluid loss
CID100000206,Dehydration
CID100000206,Neuropathy
CID100000206,Neuropathy peripheral
CID100000206,Hypoglycaemic episode
CID100000206,Hypoglycaemia
CID100000206,Insulin hypoglycemia
CID100000206,Hypoglycaemia
CID100000206,Abdominal infection
CID100000206,Abdominal infection
CID100000206,Shock insulin
CID100000206,Shock hypoglycaemic
CID100000206,Renal impairment
CID100000206,Renal impairment
CID100000206,Renal failure
CID100000214,Coarctation of the aorta
CID100000214,Coarctation of the aorta
CID100000214,Patent ductus arteriosus
CID100000214,Patent ductus arteriosus
CID100000214,Heart malformation
CID100000214,Heart disease congenital
CID100000214,Muscle relaxation
CID100000214,Hypotonia
CID100000214,Fallot's tetralogy
CID100000214,Fallot's tetralogy
CID100000214,Transposition of the great vessels
CID100000214,Transposition of the great vessels
CID100000214,Vasodilation
CID100000214,Vasodilation procedure
CID100000214,Erectile dysfunction
CID100000214,Erectile dysfunction
CID100000214,Congenital pulmonary valve atresia
CID100000214,Congenital pulmonary valve atresia
CID100000214,Congenital tricuspid valve atresia
CID100000214,Congenital tricuspid valve atresia
CID100000214,Mitral valve atresia
CID100000214,Mitral valve atresia
CID100000214,Pulmonary stenosis
CID100000214,Pulmonary valve stenosis
CID100000222,Metabolic alkalosis
CID100000222,Metabolic alkalosis
CID100000232,Acromegaly
CID100000232,Acromegaly
CID100000232,Adenoma benign
CID100000232,Adenoma benign
CID100000232,Craniopharyngioma
CID100000232,Craniopharyngioma
CID100000232,Pituitary dwarfism
CID100000232,Dwarfism
CID100000232,Gigantism
CID100000232,Gigantism
CID100000232,Trauma
CID100000232,Injury
CID100000232,Acrocyanosis
CID100000232,Cyanosis
CID100000232,Panhypopituitarism
CID100000232,Hypopituitarism
CID100000232,Insulin hypoglycemia
CID100000232,Hypoglycaemia
CID100000242,Migraine
CID100000242,Migraine
CID100000242,Aura
CID100000242,Aura
CID100000244,Pediculosis capitis
CID100000244,Lice infestation
CID100000247,Homocystinuria
CID100000247,Homocystinuria
CID100000247,Hypermethioninaemia
CID100000247,Hypermethioninaemia
CID100000271,Alkalosis
CID100000271,Alkalosis
CID100000271,Capillary permeability
CID100000271,Capillary permeability
CID100000271,Dermatitis herpetiformis
CID100000271,Dermatitis herpetiformis
CID100000271,Hyperkalaemia
CID100000271,Hyperkalaemia
CID100000271,Hypocalcaemia
CID100000271,Hypocalcaemia
CID100000271,Hypoparathyroidism
CID100000271,Hypoparathyroidism
CID100000271,Renal failure chronic
CID100000271,Renal failure chronic
CID100000271,Cramp muscle
CID100000271,Muscle spasms
CID100000271,Osteomalacia
CID100000271,Osteomalacia
CID100000271,Pruritus
CID100000271,Pruritus
CID100000271,Rickets
CID100000271,Rickets
CID100000271,Skin disorder
CID100000271,Skin disorder
CID100000271,Tetany
CID100000271,Tetany
CID100000271,Vitamin D deficiency
CID100000271,Vitamin D deficiency
CID100000271,Hyperphosphataemia
CID100000271,Hyperphosphataemia
CID100000271,Hypocalcemic tetany
CID100000271,Tetany
CID100000271,Abdominal colic
CID100000271,Abdominal pain
CID100000271,Spider bite
CID100000271,Arthropod bite
CID100000271,Purpura non-thrombocytopenic
CID100000271,Purpura non-thrombocytopenic
CID100000271,Neonatal tetany
CID100000271,Neonatal tetany
CID100000271,Eruption
CID100000271,Rash
CID100000271,Calcium deficiency
CID100000271,Calcium deficiency
CID100000271,Intoxication
CID100000271,Poisoning
CID100000271,Allergic conditions
CID100000271,Cardiotoxicity
CID100000271,Cardiotoxicity
CID100000274,Cardiac failure congestive
CID100000274,Cardiac failure congestive
CID100000297,Vomiting
CID100000297,Vomiting
CID100000298,Bacteraemia
CID100000298,Bacteraemia
CID100000298,Infection
CID100000298,Infection
CID100000298,Conjunctivitis bacterial
CID100000298,Conjunctivitis bacterial
CID100000298,Conjunctivitis infective
CID100000298,Cystic fibrosis
CID100000298,Cystic fibrosis
CID100000298,Eye infection
CID100000298,Eye infection
CID100000298,Meningitis
CID100000298,Meningitis
CID100000298,Psittacosis
CID100000298,Psittacosis
CID100000298,Pneumonia chlamydial
CID100000298,Otitis externa
CID100000298,Otitis externa
CID100000298,Typhoid fever
CID100000298,Typhoid fever
CID100000298,Chronic suppurative otitis media
CID100000298,Otitis media chronic
CID100000311,Acidosis
CID100000311,Acidosis
CID100000311,Renal tubular acidosis
CID100000311,Renal tubular acidosis
