drug_id,Percentage,Sideview
CID100000085,0.05,Abdominal pain
CID100000085,0.09,Abdominal pain
CID100000085,0.17,Gastrointestinal pain
CID100000085,0.06,Anaemia
CID100000085,0.05,Anorexia
CID100000085,0.06,Decreased appetite
CID100000085,0.05,Anxiety
CID100000085,0.03,Arrhythmia
CID100000085,0.05,Arrhythmia
CID100000085,0.12,Asthenia
CID100000085,0.12,Asthenia
CID100000085,0.08,Asthenia
CID100000085,0.06,Atrial fibrillation
CID100000085,0.06,Back pain
CID100000085,0.08,Back pain
CID100000085,0.09,Back pain
CID100000085,0.1,Back pain
CID100000085,0.03,Bronchitis
CID100000085,0.05,Bronchitis
CID100000085,0.05,Bronchitis
CID100000085,0.05,Cardiovascular disorder
CID100000085,0.05,Cardiovascular disorder
CID100000085,0.12,Chest pain
CID100000085,0.12,Chest pain
CID100000085,0.1,Infection
CID100000085,0.06,Constipation
CID100000085,0.18,Cough
CID100000085,0.18,Cough
CID100000085,0.35,Diarrhoea
CID100000085,0.09,Diarrhoea
CID100000085,0.19,Diarrhoea
CID100000085,0.11,Dizziness
CID100000085,0.09,Dysgeusia
CID100000085,0.05,Dyspepsia
CID100000085,0.06,Body temperature increased
CID100000085,0.05,Body temperature increased
CID100000085,0.06,Gastrointestinal disorder
CID100000085,0.22,Headache
CID100000085,0.03,Headache
CID100000085,0.37,Headache
CID100000085,0.16,Headache
CID100000085,0.02,Haemoglobin
CID100000085,0.03,Haemorrhage
CID100000085,0.06,Haemoglobin
CID100000085,0.06,Hypercalcaemia
CID100000085,0.08,Hypercalcaemia
CID100000085,0.09,Hypercalcaemia
CID100000085,0.03,Hypercalcaemia
CID100000085,0.06,Hyperkalaemia
CID100000085,0.06,Hyperkalaemia
CID100000085,0.05,Hypersensitivity
CID100000085,0.18,Hypertension
CID100000085,0.21,Hypertension
CID100000085,0.15,Hypotension
CID100000085,0.19,Hypotension
CID100000085,0.27,Influenza
CID100000085,0.4,Influenza
CID100000085,0.08,Muscle spasms
CID100000085,0.13,Cramps of lower extremities
CID100000085,0.13,Muscle spasms
CID100000085,0.01,Hypertonia
CID100000085,0.06,Parathyroid disorder
CID100000085,0.02,Parathyroid disorder
CID100000085,0.12,Paraesthesia
CID100000085,0.03,Paraesthesia
CID100000085,0.33,Pharyngitis
CID100000085,0.03,Pruritus
CID100000085,0.05,Pruritus
CID100000085,0.05,Renal failure
CID100000085,0.11,Rhinitis
CID100000085,0.09,Rhinitis
CID100000085,0.03,Sinusitis
CID100000085,0.05,Sinusitis
CID100000085,0.05,Tachycardia
CID100000085,0.16,Vomiting
CID100000085,0.09,Vomiting
CID100000085,0.16,Vomiting
CID100000085,0.08,Weight decreased
CID100000085,0.03,Weight decreased
CID100000085,0.06,Oedema peripheral
CID100000085,0.1,Accidental injury
CID100000085,0.03,Fluid overload
CID100000085,0.03,Insomnia
CID100000085,0.06,Insomnia
CID100000137,0.01,Excoriation
CID100000137,0.04,Haemorrhage
CID100000137,0.01,Pain
CID100000137,0.0,Pruritus
CID100000137,0.19,Pruritus
CID100000137,0.25,Pruritus
CID100000137,0.25,Pruritus
CID100000137,0.01,Gamma-glutamyltransferase increased
CID100000137,0.02,Urticaria
CID100000137,0.02,Tenderness
CID100000137,0.04,Pustule
CID100000137,0.01,Blood bilirubin increased
CID100000143,0.43,Alopecia
CID100000143,0.07,Alopecia
CID100000143,0.01,Anorexia
CID100000143,0.14,Decreased appetite
CID100000143,0.04,Decreased appetite
CID100000143,0.03,Infection
CID100000143,0.07,Infection
CID100000143,0.0,Constipation
CID100000143,0.01,Constipation
CID100000143,0.01,Dermatitis
CID100000143,0.13,Dermatitis
CID100000143,0.43,Diarrhoea
CID100000143,0.13,Fatigue
CID100000143,0.02,Fatigue
CID100000143,0.02,Lethargy
CID100000143,0.1,Nausea
CID100000143,0.8,Nausea
CID100000143,0.03,Thrombocytopenia
CID100000143,0.08,Thrombocytopenia
CID100000143,0.08,Thrombocytopenia
CID100000143,0.08,Vomiting
CID100000143,0.13,Discomfort
CID100000143,0.43,Alopecia
CID100000143,0.43,Alopecia
CID100000143,0.05,Alopecia
CID100000143,0.06,Alopecia
CID100000143,0.07,Alopecia
CID100000143,0.22,Decreased appetite
CID100000143,0.03,Infection
CID100000143,0.11,Diarrhoea
CID100000143,0.02,Fatigue
CID100000143,0.13,Lethargy
CID100000143,0.74,Nausea
CID100000143,0.8,Nausea
CID100000143,0.8,Nausea
CID100000143,0.09,Nausea
CID100000143,0.59,Stomatitis
CID100000143,0.01,Thrombocytopenia
CID100000143,0.03,Thrombocytopenia
CID100000143,0.08,Thrombocytopenia
CID100000143,0.08,Vomiting
CID100000143,0.13,Malaise
CID100000143,0.13,Feeling abnormal
CID100000143,0.06,Ill-defined disorder
CID100000143,0.0,Dyspnoea
CID100000143,0.0,Dyspnoea
CID100000143,0.38,Vomiting
CID100000158,0.028,Foetal distress syndrome
CID100000158,0.047,Foetal distress syndrome
CID100000158,0.0189445,Failed induction of labour
CID100000158,0.01,Uterine hypertonus
CID100000158,0.012,Uterine hypertonus
CID100000159,0.0,Anaemia
CID100000159,0.11,Anxiety
CID100000159,0.65,Arthralgia
CID100000159,0.06,Diarrhoea
CID100000159,0.06,Diarrhoea
CID100000159,0.25,Rash
CID100000159,0.04,Rash
CID100000159,0.25,Body temperature increased
CID100000159,0.23,Flushing
CID100000159,0.42,Flushing
CID100000159,0.33,Headache
CID100000159,0.49,Headache
CID100000159,0.0,Hypersplenism
CID100000159,0.0,Hypersplenism
CID100000159,0.13,Hypotension
CID100000159,0.12,Paraesthesia
CID100000159,0.24,Skin ulcer
CID100000159,0.0,Pain in jaw
CID100000159,0.25,Sepsis
CID100000159,0.11,Influenza-like symptoms
CID100000159,0.11,Influenza like illness
CID100000160,0.030543,Back pain
CID100000160,0.028,Foetal distress syndrome
CID100000160,0.047,Foetal distress syndrome
CID100000160,0.01,Foetal distress syndrome
CID100000160,0.012,Foetal distress syndrome
CID100000160,0.0135747,Body temperature increased
CID100000160,0.169683,Foetal heart rate
CID100000160,0.169683,Foetal heart rate
CID100000160,0.047,Uterine hypertonus
CID100000191,0.28,Dyspnoea
CID100000191,0.18,Headache
CID100000191,0.02,Headache
CID100000191,0.0,Myocardial infarction
CID100000191,0.02,Tension
CID100000191,0.02,Paraesthesia
CID100000191,0.0,Sinoatrial block
CID100000191,0.0,Shock
CID100000191,0.0,Syncope
CID100000191,0.0,Torsade de pointes
CID100000191,0.0,Loss of consciousness
CID100000191,0.0,Vomiting
CID100000191,0.0,Haemorrhage intracranial
CID100000191,0.15,Discomfort
CID100000191,0.0,Discomfort
CID100000191,0.03,Electrocardiogram ST segment depression
CID100000191,0.0,Respiratory failure
CID100000214,0.0169014,Infection
CID100000214,0.21,Cough
CID100000214,0.01,Rash
CID100000214,0.11,Rash
CID100000214,0.0,Haematuria
CID100000214,0.0159624,Haemorrhage
CID100000214,0.01,Nasal congestion
CID100000214,0.0,Nausea
CID100000214,0.14,Nausea
CID100000214,0.16,Pharyngitis
CID100000214,0.0103286,Sinusitis
CID100000214,0.02,Sinusitis
CID100000214,0.0,Testicular pain
CID100000214,0.33,Injury
CID100000214,0.32,Pain
CID100000214,0.0,Drug ineffective
CID100000214,0.0103286,Erection prolonged
CID100000214,0.0103286,Erection increased
CID100000232,0.0,Anaphylactic shock
CID100000232,0.0,Skin necrosis
CID100000247,0.001,Diarrhoea
CID100000247,0.0,Glossitis
CID100000247,0.001,Glossitis
CID100000247,0.001,Glossitis
CID100000247,0.001,Nausea
CID100000247,0.0,Personality disorder
CID100000247,0.001,Sleep disturbance
CID100000247,0.0,Urinary incontinence
CID100000247,0.001,Urinary incontinence
CID100000247,0.001,Brain oedema
CID100000311,0.0,Nausea
CID100000311,0.0,Abdominal discomfort
CID100000444,0.016,Abdominal pain
CID100000444,0.035,Gastrointestinal pain
CID100000444,0.01,Abdominal pain
CID100000444,0.001,Alopecia
CID100000444,0.024,Amblyopia
CID100000444,0.0,Anaemia
CID100000444,0.0,Anorexia
CID100000444,0.045,Anxiety
CID100000444,0.045,Anxiety
CID100000444,0.08,Anxiety
CID100000444,0.011,Anxiety
CID100000444,0.053,Arrhythmia
CID100000444,0.008,Arthralgia
CID100000444,0.008,Musculoskeletal discomfort
CID100000444,0.04,Musculoskeletal discomfort
CID100000444,0.02,Arthralgia
CID100000444,0.03,Arthralgia
CID100000444,0.0,Arthritis
CID100000444,0.04,Asthenia
CID100000444,0.01,Ataxia
CID100000444,0.031,Back pain
CID100000444,0.02,Breast disorder
CID100000444,0.0,Breast disorder
CID100000444,0.0,Bronchospasm
CID100000444,0.02,Bronchitis
CID100000444,0.0,Bronchitis
CID100000444,0.0,Bronchitis
CID100000444,0.03,Chest pain
CID100000444,0.0,Colitis
CID100000444,0.0,Coma
CID100000444,0.075,Infection
CID100000444,0.049,Confusional state
CID100000444,0.1,Constipation
CID100000444,0.26,Constipation
CID100000444,0.03,Cough
CID100000444,0.005,Libido decreased
CID100000444,0.016,Disturbance in sexual arousal
CID100000444,0.0,Dysphagia
CID100000444,0.001,Dysphagia
CID100000444,0.0,Dysphagia
CID100000444,0.05,Diarrhoea
CID100000444,0.07,Diarrhoea
CID100000444,0.086,Diarrhoea
CID100000444,0.0,Diplopia
CID100000444,0.223,Dizziness
CID100000444,0.06,Dizziness
CID100000444,0.02,Dysgeusia
CID100000444,0.02,Dysgeusia
CID100000444,0.01,Dyskinesia
CID100000444,0.02,Dyspnoea
CID100000444,0.0,Dysuria
CID100000444,0.0,Oedema
CID100000444,0.0,Enuresis
CID100000444,0.0,Enuresis
CID100000444,0.01,Epistaxis
CID100000444,0.0,Oesophagitis
CID100000444,0.009,Rash
CID100000444,0.021,Rash
CID100000444,0.041,Rash
CID100000444,0.08,Rash
CID100000444,0.0,Dermatitis
CID100000444,0.0,Dermatitis
CID100000444,0.02,Rash
CID100000444,0.086,Asthenia
CID100000444,0.01,Body temperature increased
CID100000444,0.005,Body temperature increased
CID100000444,0.005,Body temperature increased
CID100000444,0.018,Flatulence
CID100000444,0.031,Flatulence
CID100000444,0.06,Flatulence
CID100000444,0.03,Flatulence
CID100000444,0.03,Flatulence
CID100000444,0.01,Flushing
CID100000444,0.04,Flushing
CID100000444,0.04,Flushing
CID100000444,0.001,Flushing
CID100000444,0.001,Female sexual arousal disorder
CID100000444,0.0,Gastrooesophageal reflux disease
CID100000444,0.255121,Gastrointestinal disorder
CID100000444,0.255121,Gastrointestinal disorder
CID100000444,0.0,Gastrointestinal haemorrhage
CID100000444,0.0,Gastrointestinal haemorrhage
CID100000444,0.0,Gingival bleeding
CID100000444,0.0,Gingival bleeding
CID100000444,0.0,Glycosuria
CID100000444,0.001,Gynaecomastia
CID100000444,0.0,Hallucination
CID100000444,0.26,Headache
CID100000444,0.0,Hirsutism
CID100000444,0.0,Hostility
CID100000444,0.0,Hypersensitivity
CID100000444,0.0,Hypertension
CID100000444,0.0,Hypertension
CID100000444,0.025,Hypotension
CID100000444,0.0,Orthostatic hypotension
CID100000444,0.0,Orthostatic hypotension
CID100000444,0.0,Libido increased
CID100000444,0.024,Influenza
CID100000444,0.062,Influenza
CID100000444,0.005,Irritability
CID100000444,0.03,Irritability
CID100000444,0.0,Irritability
CID100000444,0.01,Muscle spasms
CID100000444,0.001,Muscle spasms
CID100000444,0.0,Leukocytosis
CID100000444,0.005,Hypertonia
CID100000444,0.0,Muscle rigidity
CID100000444,0.11,Nausea
CID100000444,0.09,Nausea
CID100000444,0.09,Nausea
CID100000444,0.003,Nausea
CID100000444,0.04,Nausea
CID100000444,0.045,Nervousness
CID100000444,0.045,Nervousness
CID100000444,0.0,Neuralgia
CID100000444,0.01,Nocturia
CID100000444,0.013,Pain
CID100000444,0.013,Pain
CID100000444,0.03,Pain
CID100000444,0.0,Pallor
CID100000444,0.0,Palpitations
CID100000444,0.0,Palpitations
CID100000444,0.013,Pharyngitis
CID100000444,0.11,Pharyngitis
