drug_id,side_effect
CID100000085,Amblyopia
CID100000085,Amblyopia
CID100000085,Anxiety
CID100000085,Arrhythmia
CID100000085,Infection
CID100000085,Depression
CID100000085,Diarrhoea
CID100000085,Dyspnoea
CID100000085,Rash
CID100000085,Dermatitis
CID100000085,Eye disorder
CID100000085,Eye disorder
CID100000085,Headache
CID100000085,Hypercalcaemia
CID100000085,Hyperkalaemia
CID100000085,Hypersensitivity
CID100000085,Hypertension
CID100000085,Hypotension
CID100000085,Influenza
CID100000085,Cramps of lower extremities
CID100000085,Muscle spasms
CID100000085,Hypertonia
CID100000085,Hypertonia
CID100000085,Pain
CID100000085,Palpitations
CID100000085,Pharyngitis
CID100000085,Angiopathy
CID100000085,Angiopathy
CID100000085,Vertigo
CID100000085,Injury
CID100000085,Myalgia
CID100000119,Pain
CID100000119,Urticaria
CID100000137,Mental disorder
CID100000137,Cardiac disorder
CID100000137,Hemiparesis
CID100000137,Hyperpathia
CID100000137,Hypotension
CID100000137,Nausea
CID100000137,Nausea
CID100000137,Nervousness
CID100000137,Tension
CID100000137,Paraesthesia
CID100000137,Seborrhoeic dermatitis
CID100000137,Skin disorder
CID100000137,Skin disorder
CID100000137,Thrombocytopenia
CID100000137,Thrombocytopenia
CID100000137,Embolism venous
CID100000137,Ulcer
CID100000137,Rash pustular
CID100000137,Application site reaction
CID100000137,Gamma-glutamyltransferase increased
CID100000137,Skin hypertrophy
CID100000137,Alanine aminotransferase increased
CID100000137,Skin hyperpigmentation
CID100000137,Scab
CID100000137,Tenderness
CID100000137,Pustule
CID100000137,Hepatobiliary disease
CID100000137,Pain
CID100000137,Feeling hot
CID100000143,Anorexia
CID100000143,Infection
CID100000143,Diarrhoea
CID100000143,Dermatitis
CID100000143,Hypersensitivity
CID100000143,Leukopenia
CID100000143,Nausea
CID100000143,Vomiting
CID100000143,Malaise
CID100000143,Feeling abnormal
CID100000143,Anaphylactoid reaction
CID100000143,Infection
CID100000143,Body temperature increased
CID100000143,Leukopenia
CID100000143,Stomatitis
CID100000143,Syncope
CID100000143,Malaise
CID100000143,Ill-defined disorder
CID100000143,Abdominal pain
CID100000143,Asthenia
CID100000143,Rash
CID100000143,Stomatitis
CID100000143,Vomiting
CID100000143,Caecitis
CID100000158,Premature separation of placenta
CID100000158,Anaphylactic shock
CID100000158,Arrhythmia
CID100000158,Arthralgia
CID100000158,Musculoskeletal discomfort
CID100000158,Bronchospasm
CID100000158,Bronchospasm
CID100000158,Diarrhoea
CID100000158,Hypertension
CID100000158,Myocardial infarction
CID100000158,Myocardial infarction
CID100000158,Nausea
CID100000158,Pain
CID100000158,Shock
CID100000158,Tachycardia
CID100000158,Tremor
CID100000158,Vaginal inflammation
CID100000158,Vaginal inflammation
CID100000158,Wheezing
CID100000158,Bronchospasm
CID100000158,Chills
CID100000158,Chills
CID100000158,Nuchal rigidity
CID100000158,Myalgia
CID100000158,Vulvovaginal pain
CID100000158,Breast tenderness
CID100000158,Hot flush
CID100000158,Vaginismus
CID100000159,Decreased appetite
CID100000159,Neck pain
CID100000159,Neck pain
CID100000159,Cough
CID100000159,Cyanosis
CID100000159,Endocrine disorder
CID100000159,Rash
CID100000159,Fatigue
CID100000159,Flushing
CID100000159,Haemothorax
CID100000159,Hypersplenism
CID100000159,Hyperthyroidism
CID100000159,Muscle spasms
CID100000159,Pharyngitis
CID100000159,Pneumothorax
CID100000159,Pulmonary embolism
CID100000159,Rhinitis
CID100000159,Hyperhidrosis
CID100000159,Syncope
CID100000159,Urticaria
CID100000159,Vasodilation procedure
CID100000159,Injection site reaction
CID100000159,Musculoskeletal discomfort
CID100000159,Abdominal colic
CID100000159,Abdominal pain
CID100000159,Rectal haemorrhage
CID100000159,Psychotic depression
CID100000159,Major depression
CID100000159,Hyperkinesia
CID100000159,Somnolence
CID100000159,Somnolence
CID100000160,Abdominal pain
CID100000160,Hypotension
CID100000160,Nausea
CID100000160,Uterine rupture
CID100000160,Bradycardia
CID100000187,Bradycardia
CID100000191,Atrioventricular block
CID100000191,Dizziness
CID100000191,Cardiac failure
CID100000191,Hypotension
CID100000191,Nasal congestion
CID100000191,Dizziness
CID100000191,Syncope
CID100000191,Sinus tachycardia
CID100000191,Tinnitus
CID100000191,Torsade de pointes
CID100000191,Tremor
CID100000191,Tremor
CID100000191,Loss of consciousness
CID100000191,Bronchospasm
CID100000191,Intracranial pressure increased
CID100000191,Fatal outcomes
CID100000191,Chest pressure
CID100000191,Tonic-clonic seizures
CID100000191,Limb discomfort
CID100000191,Tingling sensation
CID100000191,Paraesthesia
CID100000206,Feeling abnormal
CID100000206,Dehydration
CID100000206,Body temperature increased
CID100000206,Cardiac failure congestive
CID100000206,Thirst
CID100000206,Venous thrombosis
CID100000206,Water retention
CID100000206,Phlebitis
CID100000214,Hypochromic anaemia
CID100000214,Hypochromic anaemia
CID100000214,Apnoea
CID100000214,Balanitis
CID100000214,Infection
CID100000214,Flushing
CID100000214,Hypercapnia
CID100000214,Hypercholesterolaemia
CID100000214,Hypertension
CID100000214,Influenza
CID100000214,Acute coronary syndrome
CID100000214,Hypoaesthesia
CID100000214,Pharyngitis
CID100000214,Pneumopericardium
CID100000214,Supraventricular extrasystoles
CID100000214,Prostatitis
CID100000214,Rhinitis
CID100000214,Convulsion
CID100000214,Sinusitis
CID100000214,Neoplasm skin
CID100000214,Testicular disorder
CID100000214,Urethral disorder
CID100000214,Urinary tract infection
CID100000214,Ventricular fibrillation
CID100000214,Dry mouth
CID100000214,Discomfort
CID100000214,Diabetic
CID100000214,Scrotal disorder
CID100000214,Ventricular hypertrophy
CID100000214,Stiffness
CID100000214,Injection site bruising
CID100000214,Feeling jittery
CID100000214,Sweating increased
CID100000214,Injection site pruritus
CID100000214,Application site pruritus
CID100000214,Cerebral haemorrhage
CID100000214,Disseminated intravascular coagulation
CID100000214,Oedema
CID100000214,Flushing
CID100000214,Cardiac failure congestive
CID100000214,Hypercapnia
CID100000214,Body temperature decreased
CID100000214,Microcephaly
CID100000214,Pneumopericardium
CID100000214,Tachyphylaxis
CID100000214,Thrombocytopenia
CID100000214,Musculoskeletal stiffness
CID100000222,Infection
CID100000222,Venous thrombosis
CID100000232,Decreased appetite
CID100000232,Dermatitis
